,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,target,date
477,46271660.0,188.39,191.97,186.9,60547340.0,193.9,194.48,185.93,46725710.0,191.63,197.18,191.45,190.5,11/16/18
478,33113340.0,170.8,171.47,169.68,16339690.0,174.68,175.42,174.5,20848660.0,174.17,176.02,174.1,170.1,12/27/17
479,23243160.0,193.25,196.5,193.15,22727370.0,191.09,194.46,191.05,27308200.0,191.64,191.68,188.38,194.79,04/04/19
480,38016810.0,216.88,220.45,216.62,36487930.0,211.15,215.18,209.27,45713690.0,219.19,219.69,206.09,219.05,11/01/18
481,23687350.0,120.0,120.5,119.71,34412090.0,118.34,120.24,118.22,26083030.0,119.11,119.62,118.81,119.4,01/19/17
482,20046250.0,132.46,132.94,132.05,28321440.0,131.65,132.45,131.12,22941650.0,131.35,132.22,131.22,133.08,02/13/17
483,13954810.0,187.79,187.95,183.54,17675210.0,183.82,187.3,183.42,22551660.0,186.29,187.19,182.91,185.26,07/05/18
484,29663910.0,370.0,375.78,369.87,28510370.0,367.85,370.47,363.64,27684310.0,365.12,367.36,363.91,375.41,07/07/20
485,25568350.0,105.47,106.25,104.89,25686350.0,106.48,107.07,105.9,32345430.0,105.25,107.29,105.21,106.0,03/28/16
486,33520150.0,151.27,153.34,151.13,50674280.0,153.6,154.57,149.71,19994270.0,155.94,156.06,154.72,153.38,05/19/17
487,16564340.0,164.8,164.94,163.63,26729940.0,163.64,164.52,163.48,27215770.0,163.8,163.89,162.61,163.75,09/05/17
488,21918340.0,109.23,109.6,109.02,25328680.0,109.1,109.37,108.34,33754680.0,109.63,110.23,109.21,108.77,08/19/16
489,30352690.0,218.43,220.96,215.13,35767260.0,223.06,223.58,217.93,36187160.0,225.07,228.22,224.2,225.64,10/04/19
490,32389280.0,217.86,219.74,213.0,22692880.0,222.3,222.64,219.34,28802550.0,218.93,222.99,216.76,218.06,10/19/18
491,80605870.0,241.95,259.08,240.0,92683030.0,264.89,279.92,252.95,104618500.0,255.94,270.0,248.0,247.51,03/17/20
492,22858840.0,173.41,175.0,173.04,22401040.0,172.23,173.92,171.7,28567110.0,173.0,174.0,171.53,174.78,04/13/18
493,41740600.0,157.5,158.52,154.55,51608850.0,155.84,156.77,150.07,58133850.0,148.3,157.23,146.72,158.53,12/31/18
494,36487930.0,211.15,215.18,209.27,45713690.0,219.19,219.69,206.09,47191700.0,215.9,220.19,212.67,216.88,10/31/18
495,75900510.0,250.75,258.25,244.3,71882770.0,236.36,247.69,234.3,84188210.0,228.08,228.5,212.61,246.52,03/26/20
496,59029400.0,116.9,118.07,116.06,33829290.0,120.96,121.81,120.05,33009110.0,121.11,121.81,120.62,116.37,11/11/15
497,52955310.0,107.25,107.27,105.24,42250480.0,107.83,108.76,107.07,26645130.0,107.9,108.3,107.51,104.64,09/09/16
498,38399530.0,319.25,321.15,316.47,33449100.0,316.77,323.44,315.63,28236270.0,316.14,318.71,313.09,317.75,06/01/20
499,27363960.0,228.41,229.18,226.63,43177540.0,226.51,228.87,226.0,48696960.0,223.25,228.26,222.4,228.99,09/05/18
500,34260230.0,176.15,179.25,175.07,29512410.0,177.9,179.39,176.14,25302200.0,176.18,177.36,175.65,179.37,01/18/18
501,31506890.0,160.5,162.05,159.89,28411740.0,160.86,161.15,158.53,21905160.0,162.09,162.24,160.36,162.61,09/12/17
502,42009830.0,94.16,95.21,93.89,46858910.0,94.55,94.7,93.01,61192340.0,92.39,94.39,91.65,94.64,05/19/16
503,42832890.0,122.6,122.64,120.91,33400950.0,122.32,122.57,121.71,36912040.0,123.15,123.5,122.27,121.5,08/03/15
504,18220420.0,198.54,200.16,198.17,47800590.0,198.8,200.85,198.15,21513990.0,200.37,200.61,198.03,198.43,06/25/19
505,28567110.0,173.0,174.0,171.53,28976200.0,169.88,173.09,169.85,34949690.0,170.97,172.48,168.2,172.23,04/11/18
506,28784550.0,222.21,224.8,220.2,33507770.0,227.96,228.41,220.58,31961120.0,230.78,232.35,226.73,223.64,10/09/18
507,27756760.0,115.8,117.38,115.75,44284660.0,116.47,116.5,115.65,46286150.0,115.38,116.73,115.23,116.74,12/20/16
508,50415610.0,349.31,351.06,335.48,41662940.0,347.9,354.77,346.09,36928090.0,332.14,345.61,332.01,344.72,06/12/20
509,17675210.0,183.82,187.3,183.42,22551660.0,186.29,187.19,182.91,17352380.0,184.1,186.21,183.8,187.79,07/03/18
510,114436300.0,96.0,98.71,95.68,52979780.0,103.91,105.3,103.91,27997990.0,105.0,105.65,104.51,97.61,04/28/16
511,90398170.0,113.86,115.73,113.49,111186900.0,108.73,113.03,108.6,62080160.0,107.51,108.79,107.24,115.12,09/16/16
512,51314210.0,364.41,365.32,353.02,34380630.0,360.7,365.0,357.57,48155850.0,365.0,368.79,358.52,353.25,06/29/20
513,36810120.0,222.15,222.95,217.27,31801970.0,225.75,226.84,222.52,41411350.0,223.52,228.35,222.57,217.79,09/18/18
514,46559730.0,115.76,117.49,115.5,27584020.0,114.92,115.05,113.32,37979570.0,111.38,114.24,111.0,117.64,11/19/15
515,27715140.0,153.58,155.45,152.89,16383610.0,153.17,153.33,152.22,24452750.0,153.97,154.17,152.38,154.34,06/05/17
516,46301930.0,117.64,117.69,115.08,34275420.0,117.52,118.6,116.86,32063100.0,118.98,119.86,117.81,116.04,12/10/15
517,30521720.0,311.64,317.07,311.15,35217270.0,310.6,312.67,308.25,42621540.0,307.24,310.43,306.2,316.7,01/14/20
518,25289270.0,209.98,210.12,206.75,33291640.0,205.97,210.06,204.13,31774720.0,201.92,204.72,201.69,205.55,11/09/18
519,38018910.0,104.41,106.15,104.41,27697970.0,104.19,104.55,103.68,38771840.0,102.83,104.45,102.82,106.05,08/02/16
520,18386470.0,219.96,220.82,219.12,21158140.0,217.73,220.13,217.56,39763300.0,220.0,220.79,217.02,221.06,09/18/19
521,28641180.0,93.48,93.57,92.46,33653020.0,93.33,93.57,92.11,32895650.0,93.0,93.77,92.59,92.72,05/12/16
522,33772050.0,173.67,175.65,173.54,30953760.0,171.8,173.95,171.71,37378070.0,172.83,174.12,171.01,176.35,02/26/18
523,46026600.0,102.37,103.75,101.37,36884490.0,100.58,101.71,100.45,33136130.0,100.51,100.89,99.64,102.39,03/07/16
524,16380570.0,156.35,157.37,155.73,16861450.0,155.97,156.98,155.75,15603520.0,156.06,158.0,155.1,156.73,10/13/17
525,32340620.0,107.88,108.0,106.23,60784920.0,108.89,108.95,106.94,46873670.0,112.11,112.3,109.73,106.64,04/20/16
526,22526310.0,183.08,185.47,182.15,29773430.0,184.28,184.99,181.14,30967960.0,175.44,179.83,174.52,186.51,06/07/19
527,33690660.0,172.05,174.26,171.42,40113790.0,172.36,174.82,171.77,50908540.0,169.79,173.09,169.0,172.83,02/21/18
528,16553500.0,193.06,194.85,192.43,18680930.0,192.45,193.66,192.05,15955820.0,190.68,191.96,189.56,194.61,07/26/18
529,27420550.0,111.36,111.51,110.33,25931710.0,111.95,112.42,111.4,29164190.0,110.12,111.99,110.01,111.13,11/25/16
530,17775510.0,141.91,142.38,141.05,20320420.0,141.6,142.15,141.01,30341520.0,142.94,143.35,140.06,141.48,04/17/17
531,29729270.0,223.82,226.44,223.54,23430370.0,221.0,223.75,219.76,22811140.0,219.75,222.82,219.7,224.79,09/28/18
532,36299460.0,99.44,100.47,99.25,56293490.0,99.68,100.73,98.64,38258300.0,98.67,99.74,98.11,99.6,05/31/16
533,52902320.0,214.52,219.5,212.32,41084070.0,225.46,226.35,216.05,26656630.0,223.64,227.27,222.25,220.42,10/12/18
534,46575410.0,152.02,152.27,150.56,37350060.0,155.8,155.8,152.75,52126240.0,157.9,158.26,153.83,149.99,09/25/17
535,25704330.0,108.14,109.54,108.08,18648700.0,107.78,108.44,107.78,27460070.0,108.52,108.93,107.85,109.63,08/16/16
536,27997990.0,105.0,105.65,104.51,33655810.0,105.01,106.48,104.62,31416910.0,106.93,106.93,105.52,103.91,04/26/16
537,23623970.0,174.94,176.6,172.1,31096240.0,179.73,180.27,176.55,67678680.0,178.37,181.47,175.51,174.24,11/26/18
538,15957630.0,204.1,205.72,203.32,25897340.0,207.86,208.55,203.53,26066130.0,205.86,207.19,205.06,208.5,08/29/19
539,36529740.0,179.8,180.54,177.81,29748560.0,184.66,185.71,182.55,28364850.0,185.22,188.0,184.7,180.2,05/24/19
540,22930630.0,154.0,154.58,152.91,26892850.0,153.38,153.98,152.63,33520150.0,151.27,153.34,151.13,154.9,05/23/17
541,21329170.0,194.14,194.2,192.34,20912820.0,193.63,194.08,191.92,21535570.0,193.07,193.94,192.36,191.17,06/08/18
542,40026250.0,103.96,105.18,103.85,25058280.0,101.91,102.91,101.78,27368840.0,102.24,102.28,101.5,104.61,03/16/16
543,21337310.0,116.74,117.5,116.68,27756760.0,115.8,117.38,115.75,44284660.0,116.47,116.5,115.65,116.8,12/21/16
544,32063100.0,118.98,119.86,117.81,57717870.0,115.29,119.25,115.11,41511380.0,116.55,116.79,114.22,117.52,12/08/15
545,32345430.0,105.25,107.29,105.21,35454230.0,105.93,107.65,105.14,43607120.0,106.34,106.5,105.19,106.48,03/23/16
546,29334630.0,180.32,180.52,177.81,31464170.0,182.59,183.5,179.24,32191070.0,180.29,182.39,180.21,178.5,03/15/18
547,44811800.0,96.67,98.21,96.15,48032600.0,95.02,96.85,94.61,40323020.0,94.19,94.5,93.01,98.84,02/18/16
548,38771840.0,102.83,104.45,102.82,92143920.0,104.27,104.35,102.75,53454620.0,96.82,97.97,96.42,104.19,07/29/16
549,45555300.0,115.2,115.57,112.27,32461350.0,116.26,116.82,115.65,45179400.0,116.37,117.42,115.21,111.38,11/16/15
550,28877500.0,96.49,96.89,96.05,24460850.0,95.7,96.5,95.62,30877540.0,94.6,95.66,94.37,96.75,07/11/16
551,51861990.0,113.85,114.57,112.44,56005550.0,116.44,116.69,114.02,50061580.0,113.25,115.5,112.37,112.83,09/29/15
552,161882500.0,94.87,108.8,92.0,127246600.0,110.43,111.9,105.65,68176940.0,114.08,114.35,111.63,111.11,08/25/15
553,34499390.0,158.53,159.36,156.48,41740600.0,157.5,158.52,154.55,51608850.0,155.84,156.77,150.07,154.89,01/02/19
554,53038870.0,364.0,372.38,362.27,33861320.0,351.34,359.46,351.15,66118950.0,354.64,356.56,345.15,365.0,06/24/20
555,39732270.0,304.51,309.79,301.53,50155640.0,312.15,315.95,303.21,40575260.0,317.83,319.69,310.91,300.35,05/15/20
